transactionHash,blockNumber,timestamp,position,isError,callingFunction_internal,callingFunction_normal,callReward,rewardCount,transactionFee,coinbase_transfer,total_miner_reward,flashbots,ethPrice,revenue_eth,revenue_dollar
0xe8aca20f8dc484f078bea92dc22bcd85bdb319710fd5412d16b42527b24b967e,13451431,1634690094,0,None,0x88c2a0bf,0x01010110,40000000000000000,1,22872108731057904,0,259044,True,4150.176647609908,0.017127891268942097,71.08377436716513
0xb63a1b68d7d2e131a70b53ec22c1a5b94cc46b46967492da0e6886d7d47d21fd,13432870,1634438887,0,None,0x88c2a0bf,0x00011ea8,40000000000000000,1,15600990797034904,19760000000000000,19760000000000000,True,3845.909072752931,0.004639009202965096,17.841207582267806
0xdc2d203abc2bd5e3a4dd82cd89adef25c4cae00f5217c1c0acdbce616e069b3f,13655274,1637457855,0,None,0x88c2a0bf,0x0101011e,32000000000000000,1,28198917402221400,0,0,False,4268.2918169963405,0.0038010825977786017,16.224129747825597
0xd39da888f9e2c99937d2abd70655ffe026756ca26b424ae0bf310c1fbaa9f60c,13366561,1633538393,4,None,0x88c2a0bf,0x00011e08,40000000000000000,1,26770171027424832,9120000000000000,9120000000000000,True,3585.2083139079473,0.004109828972575169,14.734593001216254
0x9f9b4691e2fc93b6d97bae7995221d267d5922b449ca9009870b145582e5f4f5,13781707,1639196594,0,None,0x88c2a0bf,0x00010e02,32000000000000000,1,11130095792426760,19264000000000000,19264000000000000,True,4079.8873113960585,0.0016059042075732416,6.55190819979561
0x442bc663346c24e77ce7d4ef4b4895dbb0569e60de066bef85ebe2b3b51acadb,13346570,1633268815,1,None,0x88c2a0bf,0x00011ea7,40000000000000000,1,17834674525847872,16800000000000000,16800000000000000,True,3427.4301334200054,0.005365325474152131,18.389278205714994
0x050d3e739040235e8c47e39d0c2b33005e710cee84d7fd2ffa9f6bcd8f984c58,13012161,1628795179,2,None,0x88c2a0bf,0xc0bcfd4c,16000000000000000,1,8583358329427475,4673216000000000,4673216000000000,True,3040.91045162258,0.002743425670572526,8.34251179489368
0xd331dd91bd67eac6426767c2b5c019db885e815452d0487ce6d54b0183cab4ad,13198116,1631278589,69,None,0x88c2a0bf,0x01000000,40000000000000000,1,21976244964468365,0,0,False,3205.1171776011956,0.018023755035531636,57.76824686925849
0x9620e5ed29c6d8d035d82af4f6638171eff85024b0cb083ed17945b364172e0b,13429453,1634393068,2,None,0x88c2a0bf,0x00011bd8,40000000000000000,1,23780392099056944,11560000000000000,11560000000000000,True,3833.8378405207486,0.004659607900943056,17.864181092624943
0xfac7b068a1f2e4c0be5634aaaeba14af797d3bb2e027a083394caf741a511310,13786575,1639262121,4,None,0x88c2a0bf,0x000106f3,32000000000000000,1,25442445630712959,4704000000000000,4704000000000000,True,4079.8873113960585,0.0018535543692870422,7.562292952236928
